Time: 3/20:56:45 Arduino 0: 0: 286.88,1: 277.38,2: 265.78,3: 255.94,4: 245.39,5: 234.14,6: 224.30
Time: 3/20:56:45 Arduino 0: 0: 287.23,1: 277.03,2: 266.13,3: 255.94,4: 245.39,5: 235.55,6: 224.30
Time: 3/20:56:45 Arduino 0: 0: 278.79,1: 269.65,2: 260.51,3: 252.42,4: 242.93,5: 233.09,6: 223.95
Time: 3/20:56:45 Arduino 0: 0: 256.29,1: 253.48,2: 249.26,3: 243.28,4: 236.95,5: 229.57,6: 220.08
Time: 3/20:56:45 Arduino 0: 0: 251.37,1: 248.55,2: 243.63,3: 238.71,4: 232.03,5: 225.70,6: 218.67
Time: 3/20:56:46 Arduino 0: 0: 251.37,1: 247.15,2: 241.52,3: 235.55,4: 229.92,5: 222.89,6: 215.51
Time: 3/20:56:46 Arduino 0: 0: 251.37,1: 245.74,2: 240.12,3: 234.49,4: 227.46,5: 221.48,6: 214.10
Time: 3/20:56:46 Arduino 0: 0: 251.02,1: 246.09,2: 239.41,3: 233.09,4: 227.11,5: 219.73,6: 212.70
Time: 3/20:56:46 Arduino 0: 0: 251.72,1: 245.39,2: 239.41,3: 232.73,4: 226.05,5: 219.38,6: 211.29
Time: 3/20:56:46 Arduino 0: 0: 251.72,1: 245.74,2: 238.36,3: 232.38,4: 225.70,5: 217.97,6: 211.29
Time: 3/20:56:46 Arduino 0: 0: 251.72,1: 245.74,2: 239.06,3: 231.68,4: 225.00,5: 218.32,6: 209.88
Time: 3/20:56:46 Arduino 0: 0: 251.72,1: 245.74,2: 238.36,3: 232.03,4: 224.30,5: 217.27,6: 210.23
Time: 3/20:56:46 Arduino 0: 0: 252.07,1: 245.39,2: 238.71,3: 230.98,4: 224.30,5: 216.91,6: 209.18
Time: 3/20:56:46 Arduino 0: 0: 251.72,1: 245.04,2: 238.36,3: 231.68,4: 223.59,5: 216.56,6: 209.53
Time: 3/20:56:46 Arduino 0: 0: 251.72,1: 245.39,2: 238.36,3: 230.98,4: 224.30,5: 215.86,6: 208.48
Time: 3/20:56:46 Arduino 0: 0: 251.37,1: 245.39,2: 238.36,3: 231.68,4: 223.59,5: 216.21,6: 208.48
Time: 3/20:56:46 Arduino 0: 0: 253.83,1: 247.15,2: 239.06,3: 231.68,4: 224.65,5: 215.86,6: 208.83
Time: 3/20:56:46 Arduino 0: 0: 255.94,1: 248.91,2: 241.17,3: 233.09,4: 225.00,5: 217.27,6: 208.48
Time: 3/20:56:46 Arduino 0: 0: 259.10,1: 252.07,2: 242.58,3: 234.84,4: 226.41,5: 217.62,6: 209.88
Time: 3/20:56:47 Arduino 0: 0: 262.27,1: 253.83,2: 245.39,3: 235.90,4: 227.46,5: 219.02,6: 209.88
Time: 3/20:56:47 Arduino 0: 0: 264.73,1: 256.64,2: 246.80,3: 238.36,4: 228.52,5: 219.73,6: 211.64
Time: 3/20:56:47 Arduino 0: 0: 267.89,1: 259.10,2: 249.61,3: 239.77,4: 230.63,5: 221.13,6: 211.99
Time: 3/20:56:47 Arduino 0: 0: 270.35,1: 261.21,2: 251.37,3: 242.23,4: 231.68,5: 222.54,6: 213.75
